Bone end -x,Bone end -y,Bone end -z,Palm Position-x,Palm Position-y,Palm Position-z,Sphere radius,alphabet
23.04,78.0926,39.6863,17.5451,94.2598,-10.0899,32.17393112,A
-12.6062,102.251,-20.9883,17.5451,94.2598,-10.0899,32.17393112,A
6.56098,103.2,-29.0923,17.5451,94.2598,-10.0899,32.17393112,A
27.1871,101.353,-31.513,17.5451,94.2598,-10.0899,32.17393112,A
46.5189,96.5738,-31.8979,17.5451,94.2598,-10.0899,32.17393112,A
-14.5904,72.4122,14.6571,17.5451,94.2598,-10.0899,32.17393112,A
-8.05814,63.925,-30.5256,17.5451,94.2598,-10.0899,32.17393112,A
0.499728,59.969,-34.6495,17.5451,94.2598,-10.0899,32.17393112,A
15.2892,62.5819,-37.1329,17.5451,94.2598,-10.0899,32.17393112,A
30.2233,68.7767,-37.6903,17.5451,94.2598,-10.0899,32.17393112,A
-25.3874,64.6336,-12.831,17.5451,94.2598,-10.0899,32.17393112,A
-0.0441689,54.0689,-12.1861,17.5451,94.2598,-10.0899,32.17393112,A
9.70164,48.8427,-12.8463,17.5451,94.2598,-10.0899,32.17393112,A
19.7871,50.6824,-15.0524,17.5451,94.2598,-10.0899,32.17393112,A
30.0198,59.686,-22.1188,17.5451,94.2598,-10.0899,32.17393112,A
-21.9919,59.9452,-27.7485,17.5451,94.2598,-10.0899,32.17393112,A
2.93012,57.6244,-0.999955,17.5451,94.2598,-10.0899,32.17393112,A
15.1042,54.5944,-2.18562,17.5451,94.2598,-10.0899,32.17393112,A
24.9247,56.326,-4.28664,17.5451,94.2598,-10.0899,32.17393112,A
34.7999,62.7584,-11.3099,17.5451,94.2598,-10.0899,32.17393112,A
23.04,78.0926,39.6863,17.5451,94.2598,-10.0899,32.17393112,A
-12.6062,102.251,-20.9883,17.5451,94.2598,-10.0899,32.17393112,A
6.56098,103.2,-29.0923,17.5451,94.2598,-10.0899,32.17393112,A
27.1871,101.353,-31.513,17.5451,94.2598,-10.0899,32.17393112,A
46.5189,96.5738,-31.8979,17.5451,94.2598,-10.0899,32.17393112,A
-14.5904,72.4122,14.6571,17.5451,94.2598,-10.0899,32.17393112,A
-8.05814,63.925,-30.5256,17.5451,94.2598,-10.0899,32.17393112,A
0.499728,59.969,-34.6495,17.5451,94.2598,-10.0899,32.17393112,A
15.2892,62.5819,-37.1329,17.5451,94.2598,-10.0899,32.17393112,A
30.2233,68.7767,-37.6903,17.5451,94.2598,-10.0899,32.17393112,A
-25.3874,64.6336,-12.831,17.5451,94.2598,-10.0899,32.17393112,A
-0.0441689,54.0689,-12.1861,17.5451,94.2598,-10.0899,32.17393112,A
9.70164,48.8427,-12.8463,17.5451,94.2598,-10.0899,32.17393112,A
19.7871,50.6824,-15.0524,17.5451,94.2598,-10.0899,32.17393112,A
30.0198,59.686,-22.1188,17.5451,94.2598,-10.0899,32.17393112,A
